ID_new,ID_Old,species,Longitude,Latitude,source
367,140,alutaceus,-77.953,21.804,Velasco etal16
368,141,alutaceus,-75.803,20.079,Velasco etal16
369,142,alutaceus,-79.07,22.245,Velasco etal16
370,143,alutaceus,-74.87,20.629,Velasco etal16
371,144,alutaceus,-77.053,20.37,Velasco etal16
372,4582,alvarezdeltoroi,-93.303,16.843,Velasco etal16
373,4583,alvarezdeltoroi,-93.354,16.89,Velasco etal16
374,4584,alvarezdeltoroi,-93.45,16.933,Velasco etal16
375,4585,alvarezdeltoroi,-93.45,16.933,Velasco etal16
376,4586,alvarezdeltoroi,-93.445,16.938,Velasco etal16
377,23900,amplisquamosus,-88.1999999,15.51666646,type locality
378,3468,anatoloros,-70.573,8.856,Velasco etal16
379,3469,anatoloros,-70.51,8.91,Velasco etal16
380,3470,anatoloros,-70.47,8.94,Velasco etal16
381,3471,anchicayae,-76.91,3.62,Velasco etal16
382,3472,anchicayae,-76.67,3.92,Velasco etal16
383,3473,anchicayae,-77.16,3.93,Velasco etal16
384,3474,anchicayae,-76.71,4.48,Velasco etal16
385,3475,anchicayae,-76.49,4.97,Velasco etal16
386,3476,anchicayae,-76.69,5.1,Velasco etal16
387,3477,anchicayae,-77.498,5.581,Velasco etal16
388,3478,anchicayae,-77.44,6.22,Velasco etal16
389,145,anfiloquiae,-74.278,20.145,Velasco etal16
390,146,anfiloquiae,-75.07,20.62,Velasco etal16
391,147,angusticeps,-76.837,19.987,Velasco etal16
392,148,angusticeps,-75.153,20.287,Velasco etal16
393,149,angusticeps,-80.003,21.937,Velasco etal16
394,150,angusticeps,-74.278,20.145,Velasco etal16
395,151,angusticeps,-83.02,22.804,Velasco etal16
396,152,angusticeps,-82.137,23.02,Velasco etal16
397,153,angusticeps,-83.712,22.62,Velasco etal16
398,154,angusticeps,-77.437,19.937,Velasco etal16
399,155,angusticeps,-82.428,23.079,Velasco etal16
400,156,angusticeps,-83.97,22.412,Velasco etal16
401,157,angusticeps,-80.47,22.47,Velasco etal16
402,158,angusticeps,-82.37,23.137,Velasco etal16
403,159,angusticeps,-78.003,21.387,Velasco etal16
404,160,angusticeps,-77.787,21.595,Velasco etal16
405,161,angusticeps,-84.087,22.204,Velasco etal16
406,162,angusticeps,-78.02,21.287,Velasco etal16
407,163,angusticeps,-82.837,21.67,Velasco etal16
408,164,angusticeps,-80.962,22.045,Velasco etal16
409,165,angusticeps,-76.37,20.47,Velasco etal16
410,166,angusticeps,-75.07,20.62,Velasco etal16
411,167,angusticeps,-77.053,20.37,Velasco etal16
412,168,angusticeps,-77.045,21.429,Velasco etal16
413,4587,anisolepis,-92.274,14.792,Velasco etal16
414,4588,anisolepis,-92.383,14.933,Velasco etal16
415,4589,anisolepis,-92.135,15.042,Velasco etal16
416,4590,anisolepis,-92.083,15.067,Velasco etal16
417,4591,anisolepis,-92.083,15.083,Velasco etal16
418,4592,anisolepis,-92.148,15.091,Velasco etal16
419,4593,anisolepis,-92.109,15.093,Velasco etal16
420,4594,anisolepis,-92.146,15.094,Velasco etal16
421,4595,anisolepis,-92.142,15.094,Velasco etal16
422,4596,anisolepis,-92.144,15.095,Velasco etal16
423,4597,anisolepis,-92.138,15.098,Velasco etal16
424,4598,anisolepis,-92.083,15.1,Velasco etal16
425,4599,anisolepis,-92.234,15.151,Velasco etal16
426,4600,anisolepis,-92.233,15.158,Velasco etal16
427,4601,anisolepis,-92.233,15.207,Velasco etal16
428,4602,anisolepis,-92.236,15.211,Velasco etal16
429,4603,anisolepis,-92.245,15.213,Velasco etal16
430,4604,anisolepis,-92.245,15.217,Velasco etal16
431,4605,anisolepis,-92.244,15.217,Velasco etal16
432,4606,anisolepis,-92.252,15.218,Velasco etal16
433,4607,anisolepis,-92.239,15.226,Velasco etal16
434,4608,anisolepis,-92.236,15.231,Velasco etal16
435,4609,anisolepis,-92.304,15.234,Velasco etal16
436,4610,anisolepis,-92.302,15.236,Velasco etal16
437,4611,anisolepis,-92.346,15.247,Velasco etal16
438,4612,anisolepis,-92.346,15.248,Velasco etal16
439,4613,anisolepis,-92.342,15.248,Velasco etal16
440,4614,anisolepis,-92.33,15.249,Velasco etal16
441,4615,anisolepis,-92.333,15.251,Velasco etal16
442,4616,anisolepis,-92.342,15.253,Velasco etal16
443,4617,anisolepis,-92.315,15.26,Velasco etal16
444,4618,anisolepis,-92.303,15.289,Velasco etal16
445,4619,anisolepis,-92.238,15.296,Velasco etal16
446,4620,anisolepis,-92.654,15.362,Velasco etal16
447,4621,anisolepis,-92.61,15.385,Velasco etal16
448,4622,anisolepis,-92.6,15.416,Velasco etal16
449,4623,anisolepis,-92.9,15.43,Velasco etal16
450,4624,anisolepis,-92.487,15.484,Velasco etal16
451,4625,anisolepis,-92.807,15.657,Velasco etal16
452,4626,anisolepis,-92.483,15.967,Velasco etal16
453,4627,anisolepis,-91.7,16.1,Velasco etal16
454,4628,anisolepis,-91.747,16.131,Velasco etal16
