species,minLat,maxLat,Midpoint_Lat,Log10_meanSVL,P-comp,S-comp,Anntemp,AET,GVI,NDVI,season_temp,season_prec
lyra,-0.888,3.93,1.521,1.875061263,1.738994066,0.136067197,238.8267649,1334.448276,225.3793103,178.7107286,479.9557758,55.40961963
macilentus,20.204,20.287,20.2455,1.58546073,1.577414965,0.008045765,234.2416687,1104,231,200.4629669,1606.037415,51.74087524
macrinii,15.73,15.977,15.8535,1.980003372,1.734815075,0.245188297,236.8372498,1041.75,244.25,194.6423645,948.847229,96.68549728
macrolepis,2.515,5.581,4.048,1.767155866,1.747092429,0.020063437,237.2867065,1495.4,234.7,172.2972229,280.6039597,25.7468502
macrophallus,13.49,18.823,16.1565,1.67669361,1.718005663,-0.041312053,242.4487579,1110.797101,232.5942029,198.8060256,688.092037,91.11055391
maculigula,5.883,7.29,6.5865,1.959041392,1.988885248,-0.029843856,207.9457635,1456.555556,227.6666667,188.044754,390.328498,36.74622218
maculiventris,-1.009,9.497,4.244,1.67669361,1.691497136,-0.014803526,237.1066449,1425.359375,226.421875,182.1856911,373.9521532,43.92866664
magnaphallus,8.776,8.86,8.818,1.740362689,1.715339346,0.025023343,167.1349113,1167.090909,231.4545455,185.3489033,540.3621355,56.29322676
marcanoi,18.237,18.704,18.4705,1.736396502,1.799579552,-0.06318305,237.7436924,903.28125,213.125,203.741322,1080.991558,53.91365564
mariarum,5.74,7.29,6.515,1.711807229,1.693582227,0.018225002,195.1357147,1379.347826,207.1630435,195.6997276,375.1989132,38.21682374
marmoratus,15.87,16.395,16.1325,1.84509804,1.829812335,0.015285705,247.0188259,1237.789474,243.6666667,193.6855902,1097.078987,35.81360047
marron,18.229,18.254,18.2415,1.662757832,1.706852278,-0.044094446,251.1851501,1148,219,194.570989,1182.262858,49.07392248
marsupialis,8.746962,9.481635,9.1142985,1.667452953,1.838345212,-0.170892259,213.1610761,1419.428571,234.5714286,183.2533068,624.9133039,64.58006832
matudai,14.93,17.517,16.2235,1.707570176,1.701702589,0.005867587,212.3183049,1135.646154,239.4615385,197.3451562,1154.591059,88.72977406
maynardi,19.67,19.704,19.687,1.792391689,1.820326847,-0.027935158,263,1050.5,255,66.8263855,1433.749207,59.1666584
medemi,2.963785,2.97304,2.9684125,1.707570176,1.691497136,0.01607304,253,1399,255,1,315.5,27.25
megalopithecus,4.748,6.771,5.7595,1.919078092,1.839843254,0.079234838,192.8227234,1364.8,228.4,184.1046265,325.3490356,32.343116
megapholidotus,16.577,18.1,17.3385,1.707570176,1.727440211,-0.019870035,237.1972119,993.9130435,225.0869565,197.3572845,1300.392262,103.2678996
menta,10.866358,10.867687,10.8670225,1.740362689,1.724649709,0.01571298,182.2567596,1235.5,248,168.3148193,501.7871704,64.22249222
